date,btc_price,btc_high,btc_low,eth_price,eth_high,eth_low,sol_price,sol_high,sol_low,btc_sma_14,eth_sma_14,sol_sma_14,btc_sma_30,eth_sma_30,sol_sma_30
2021-01-01,29402.64,29700.0,28720.0,731.18,750.34,716.24,1.84208405,1.85965598,1.502038,29402.64,731.18,1.84208405,29402.64,731.18,1.84208405
2021-01-02,32216.53,33333.0,29050.0,775.59,788.82,717.0,1.79927504,1.98929501,1.72148204,30809.585,753.385,1.820679545,30809.585,753.385,1.820679545
2021-01-03,33097.83,34800.0,31977.45,979.33,1014.7,769.95,2.16175199,2.36498094,1.79990196,31572.333333333332,828.7,1.93437036,31572.333333333332,828.7,1.93437036
2021-01-04,32005.88,33669.76,27734.0,1042.95,1169.97,890.0,2.48509693,2.48509693,1.87634206,31680.72,882.2625,2.0720520025,31680.72,882.2625,2.0720520025
2021-01-05,34039.05,34500.0,29936.26,1102.97,1136.0,975.0,2.15721703,2.50261593,2.0777421,32152.386,926.404,2.089085008,32152.386,926.404,2.089085008
2021-01-06,36849.94,37050.83,33348.27,1212.85,1215.0,1059.73,1.92921698,2.18589211,1.90758502,32935.31166666667,974.145,2.0624403366666666,32935.31166666667,974.145,2.0624403366666666
2021-01-07,39510.49,40402.46,36327.5,1226.56,1291.0,1150.0,2.37274504,2.61183095,1.933043,33874.62285714286,1010.2042857142857,2.10676958,33874.62285714286,1010.2042857142857,2.10676958
2021-01-08,40667.07,42000.0,36618.36,1217.84,1275.74,1065.0,3.21988702,3.77932,2.18092895,34723.67875,1036.15875,2.24590926,34723.67875,1036.15875,2.24590926
2021-01-09,40239.06,41422.77,38788.16,1280.11,1309.98,1171.88,3.38538194,3.66278791,2.93830705,35336.49888888889,1063.2644444444445,2.3725173355555556,35336.49888888889,1063.2644444444445,2.3725173355555556
2021-01-10,38173.73,41450.0,34322.07,1256.0,1352.85,1146.34,3.46611094,3.73355103,3.19623494,35620.222,1082.538,2.481876696,35620.222,1082.538,2.481876696
2021-01-11,35455.58,38261.39,30261.13,1087.82,1258.23,911.0,3.10808992,3.51357102,2.5971241,35605.25454545455,1083.0181818181818,2.538805170909091,35605.25454545455,1083.0181818181818,2.538805170909091
2021-01-12,34035.02,36639.23,32479.91,1083.62,1101.3,1038.81,3.61339808,3.8444159,3.08003497,35474.401666666665,1083.0683333333334,2.62835458,35474.401666666665,1083.0683333333334,2.62835458
2021-01-13,37393.49,37800.0,32327.76,1130.76,1137.09,985.29,3.51378202,3.62882495,3.27492094,35622.02384615385,1086.7369230769232,2.6964643830769233,35622.02384615385,1086.7369230769232,2.6964643830769233
2021-01-14,39134.35,40112.78,36717.23,1233.01,1246.54,1086.69,3.27816391,3.54286599,3.18197393,35872.904285714285,1097.185,2.7380143492857143,35872.904285714285,1097.185,2.7380143492857143
2021-01-15,36756.57,39694.0,34380.0,1227.63,1255.52,1174.21,3.25016093,3.43592191,2.98519111,36398.185,1132.6457142857143,2.8385912692857143,35931.81533333333,1105.8813333333333,2.7721574546666665
2021-01-16,36000.0,37944.12,35350.0,1228.19,1293.18,1152.51,3.4470551,3.70323205,3.24893403,36668.432857142856,1164.9742857142858,2.956289845,35936.076875,1113.525625,2.8143385575
2021-01-17,35819.25,36839.0,33833.55,1232.95,1268.87,1166.08,3.81813908,3.96537209,3.31974602,36862.82,1183.09,3.0746032085714288,35929.20470588235,1120.550588235294,2.8733856470588237
2021-01-18,36616.95,37449.86,34777.85,1257.86,1261.3,1182.8,3.79551506,4.14792013,3.655761,37192.18214285714,1198.4407142857142,3.168204503571429,35967.412777777776,1128.1788888888889,2.924615058888889
